标题,作者,出版社,出版时间,评分,纸质版定价
人工智能：驯服赛维坦,高奇琦,上海交通大学出版社,2018-3-1,7.8,58.00元
我是阿尔法 : 论法和人工智能,冯象,中国政法大学出版社,2018-10,8.2,59.00元
人工智能安全,方滨兴,电子工业出版社,2020-6-1,暂无评分,99
人工智能 下册,陆汝钤,科学出版社,1996-09-01,暂无评分,34
携程人工智能实践,携程技术团队,电子工业出版社,2020-4,6.8,109
人工智能与法律的对话,彭诚信 主编,上海人民出版社,2018-8-1,7.0,CNY 88.00
区块链+人工智能,曲强博,人民邮电出版社,2019-4,暂无评分,49.00元
人工智能不会做什么,[日]羽生善治,四川人民出版社,2019-1,6.1,49.00
人工智能营销,中国人民大学出版社,未知,未知,暂无评分,中国人民大学出版社
人人都该懂的人工智能,[英]布莱·惠特比,浙江人民出版社,2019-3,6.7,53.99元
人工智能导论 : Introduction to Artificial Intelligence,李德毅,中国科学技术出版社,2018-8-1,6.8,49.00
人工智能时代,【美】Kalman Toth（托斯）,人民邮电出版社,2017-10,暂无评分,59.00元
可解释人工智能导论,杨强,电子工业出版社,2022-4,暂无评分,158
大话自动化:从蒸汽机到人工智能 : 从蒸汽机到人工智能,[加]晨枫,[加]晨枫,机械工业出版社,7.4,69元
不确定性人工智能,李德毅,国防工业出版社,2005-7,6.7,56.00元
情感经济 : 人工智能、颠覆性变革与人类未来,罗兰·T. 拉斯特,中译出版社,2022-1,7.4,68
人工智能的哲学问题,成素梅,张帆,上海人民出版社,暂无评分,98.00元
人工智能芯片设计,尹首一,科学出版社,2020-3,7.7,98
仿生人工智能,[瑞士] 达里奥·弗罗来若,国防工业出版社,2017-3,暂无评分,109.00元
算法简史 : 从美索不达米亚到人工智能时代,[英] 克里斯·布利克利,中信出版社,2024-10,暂无评分,58.00元
人工智能基础 : 人工智能基础,蔡自兴,高等教育出版社,2010-3,暂无评分,29.80元
人工智能伦理引论,杜严勇,上海交通大学出版社,2020-6,6.8,68.00元
人工智能游戏编程真言,Steve Rabin,清华大学出版社,2005-1-1,7.7,54.0
人工智能基础,高济,高等教育出版社,2002-8,暂无评分,32.50元
法律人工智能导论,姜伟,北京大学出版社,2023-4,暂无评分,168.00元
人工智能逻辑讲义,李小五,中山大学出版社,2005-9,暂无评分,35.00元
人工智能原理,石纯一,科学出版社,1993-10,暂无评分,15.00
人工智能法学,郑飞,未知,郑飞,暂无评分,中国政法大学出版社
供应链大发现 : 神奇的传送带、人工智能与未来工作,尤西·谢费,华东师范大学出版社,2024-8,暂无评分,89.00
量化价值投资 : 人工智能算法驱动的理性投资,[美] 卫斯理·R.格雷,[美] 托比亚斯·E.卡莱尔,中国青年出版社,7.4,2018-8-1
一本书读懂人工智能,李连德,李连德,人民邮电出版社,6.0,2016-7
人工智能时代 : 人机共生下财富、工作与思维的大未来,[美] 杰瑞·卡普兰,浙江人民出版社,2016-4-1,7.5,59.90元
走近2050 : 注意力、互联网与人工智能,集智俱乐部,人民邮电出版社,2016-6-12,7.2,59.00元
让法律人读懂人工智能,华宇元典法律人工智能研究院,法律出版社,2019-1-1,6.0,79.00元
人工智能的故事,魏铼,人民邮电出版社,2019,8.0,55元
贤二机器僧漫游人工智能,杨朴宇,北京联合出版公司,2016-8-1,6.4,49.90
人工智能经济学,阿贾伊·阿格拉瓦尔,中国财政经济出版社,2021-4,暂无评分,120
人工智能与法律,冯子轩,法律出版社,2020-11,暂无评分,48.00元
人工智能：计算agent基础,[加]普尔（David L.Poole）,机械工业出版社,2015-1-1,暂无评分,79.00
中国人工智能简史 : 从1979到1993,林军,人民邮电出版社,2023-8,8.1,99.80元
人工智能导论 : 人工智能导论,鲍军鹏,机械工业出版社,2010-1,暂无评分,35.00元
Unity3D人工智能编程精粹,王洪源,清华大学出版社,2014-10-1,6.7,39.8
计算机不能做什么 : 人工智能的极限,[美] 休伯特·德雷福斯,生活·读书·新知三联书店,1986,8.0,2.25元
人工智能与人类未来 : 探索人工智能的道德边界,[澳]托比·沃尔什(Toby Walsh),中国科学技术出版社,2024-7,暂无评分,68.00元
人工智能与医疗,北京大学出版社,未知,未知,暂无评分,北京大学出版社
科学+预见人工智能,人民邮电出版社,人民邮电出版社,2017-5,6.5,39
人工智能 : 人工智能,清华大学出版社,清华大学出版社,2013-3,暂无评分,49.00元
《裂变：秒懂人工智能的基础课》,王天一,电子工业出版社·博文视点,2018-6-13,8.0,59.00元
如何教人工智能说人话？,徐英瑾,商务印书馆,2023-11,暂无评分,98.00
反原则 : 人工智能时代个人成功之道,[美]伊戈尔·图钦斯基,人民邮电出版社,2021-4-1,7.3,59.80元
我是阿爾法 : 論法和人工智能,馮象,牛津大學出版社,2018-7,8.5,HKD100
趣解人工智能,(日)三宅阳一郎主编；王谦译,(日)三宅阳一郎主编；王谦译,北京时代华文书局,暂无评分,27.40元
算法交易员 : 会赚钱的人工智能,[韩] 权容禛,人民邮电出版社,2019-8,8.2,59.00元
高级人工智能 : 第3版,史忠植,科学出版社,2011-7,暂无评分,88.00元
人工智能文化 : 日常生活与数字变革,（澳）安东尼·艾略特,华中科技大学出版社,2022-6-30,7.8,78元
人工智能的伦理和治理,郭锐,法律出版社,2020-8,6.4,58元
Python人工智能,刘伟善,刘伟善,清华大学出版社,暂无评分,2020-3-1
人工智能游戏开发,[美国] 钱潘德,中国环境科学出版社,2004-12,暂无评分,48.00元
人工智能教程 : 人工智能教程,张仰森,高等教育出版社,2008-3,暂无评分,30.50元
AI传奇 : 人工智能通俗史,陈宗周,机械工业出版社,2018-1-1,6.5,59.00元
"人工智能 : 改变世界,重建未来",[美]卢克·多梅尔,中信出版社,2016-11-1,6.0,CNY 49.00
高级人工智能,史忠植,科学出版社,2006年09月,暂无评分,68.0
机器与人 : 埃森哲论新人工智能,【美】保罗•多尔蒂 詹姆斯•威尔逊,中信出版社,2018-10,6.9,49.00元
硅谷简史 : 通往人工智能之路,钱纲,机械工业出版社,2018-7-1,7.6,79.00元
人工智能读本,,未知,未知,暂无评分,
Unity 3D人工智能编程,Aung Sithu Kyaw,机械工业出版社,2015-6,暂无评分,59
人工智能革命 : 历史、当下与未来,王天一,北京时代华文书局,2017-6-1,7.0,48
人工智能技术导论 : 人工智能技术导论,廉师友,西安电子科技大学出版社,2007-5,暂无评分,24.00元
人工智能 : 开启颠覆性智能时代,周晓垣,台海出版社,2018-5,7.0,68.00
给建筑师的人工智能导读,何宛余,何宛余,同济大学出版社,8.3,2021-7
艾博士：深入浅出人工智能,马少平,清华大学出版社,2023-10-1,暂无评分,89.80元
密钥01 : 人工智能来了,马汝为,长江出版社,2018-7,6.3,25.00元
数字化、人工智能和刑法,[德] 埃里克·希尔根多夫,北京大学出版社,2023-12,暂无评分,79
人工智能原理与方法,王永庆,西安交通大学出版社,1999-07,暂无评分,39.00元
分布式人工智能,安波 等,电子工业出版社,2022-11,暂无评分,129
硬战：人工智能时代的爆款产品,邹大湿,电子工业出版社,2018-11,7.9,69
人造神祇 : 中国人工智能科幻小说集,刘维佳 主编,新星出版社,2020-8,8.4,49.00元
进击的科技 : 从爱因斯坦到人工智能,[美]达戈戈·阿尔特莱德（Dagogo Altraide）,中信出版集团,2020-4,7.5,68.00元
游戏中的人工智能（第3版）,[美] 伊恩·米林顿（Ian Millington）,清华大学出版社,2021-8,暂无评分,199.00元
造神 : 人工智能神话的起源和破除,(美) 埃里克·J.拉森,中国科学技术出版社,2023-4,7.8,88.00元
人工智能 : 复杂问题求解的结构和策略,（美）卢格尔（Luger，G.F.）,机械工业出版社,2006-10,8.5,75.00元
人工智能 : 一种现代的方法(第2版)(影印版),S. Russell,清华大学出版社,2006-5-1,9.3,128.00元
人工智能与价值观,李仁涵,上海交通大学出版社,2021-6,暂无评分,68
人工智能（第三版）,朱福喜,清华大学出版社,2017-2,暂无评分,59
人工智能狂潮 : 机器人会超越人类吗？,[日] 松尾丰,机械工业出版社,2016-1,7.4,39.80元
详解FPGA : 人工智能时代的驱动引擎,石侃,清华大学出版社,2021-4-1,7.0,59
人工智能基础教程,朱福喜,清华大学出版社,2011-6,暂无评分,45.00元
人工智能算法（卷1） : 基础算法,[美] 杰弗瑞·希顿,人民邮电出版社,2020-1,7.2,59元
人工智能及其应用 : 第4版,蔡自兴,清华大学出版社,2010-5,5.4,39.00元
揭秘人工智能,[英] 安娜·鲍尔斯,未来出版社,2021-3,暂无评分,68.80元
人工智能入门,刘峡壁 张毅,未知,刘峡壁 张毅,暂无评分,中国人民大学出版社
人工智能中的深度结构学习,尤舒亚·本吉奥 (Yoshua Bengio),机械工业出版社,2017-7-1,暂无评分,CNY 35.00
生成式AI : 人工智能的未来,(美) 詹姆斯·斯金纳,张雅琪,中信出版社,4.5,2023-5
人工智能关我什么事 : 全面了解人工智能如何改变日常生活,[中] 王文革,北京时代华文书局,2020-1-1,6.6,58.00元
统计之美 : 人工智能时代的科学思维,李舰,电子工业出版社,2019-3,6.8,59.00元
人工智能应用,,未知,未知,暂无评分,
人机融合 : 超越人工智能,刘伟,清华大学出版社,2021-4,5.7,59.00元
人工智能怎么学,肖建国,上海科学技术出版社,2022-9,暂无评分,118.00元
人工智能新时代 : 核心技术与行业赋能,郭哲滔,清华大学出版社,2024-5-1,7.9,88.00元
“深蓝”揭秘 : 追寻人工智能圣杯之旅,[mei ]xu feng xiong,上海科技教育出版社,2006-7,8.5,25.00元
人工智能实践录,中国电子信息产业发展研究院（赛迪研究院）,人民邮电出版社,2020-10,暂无评分,69
人工智能与网络文艺,黄鸣奋,宁波出版社,2022-7-1,暂无评分,70.00
人工智能2006,2006-12,未知,2006-12,暂无评分,1310.80元
人工智能机器人学导论,墨菲,电子工业出版社,2004-10-1,暂无评分,29.00元
心体 : 认知科学与人工智能的哲学挑战,(英) 安迪·克拉克,中信出版社,2024-3,7.6,79.00
AI3.0 : 人工智能落地的商业逻辑,[加]王晓梅,中国友谊出版公司,2020-10,5.9,52.00元
人工智能产品经理——AI时代PM修炼手册,张竞宇,电子工业出版社,2018-6,6.2,59
最有人性的“人” : 人工智能带给我们的启示,布莱恩•克里斯汀 (Brian Christian),人民邮电出版社,2012-10-1,8.9,45.00元
人工智能蓝皮书：中国医疗人工智能发展报告（2019）,张旭东,张旭东,社会科学文献出版社,暂无评分,148元
人人都应该知道的人工智能,杰瑞•卡普兰(Jerry Kaplan),浙江人民出版社,2018-5-1,6.4,CNY 59.90
医药人工智能,,未知,未知,暂无评分,
人工智能往事 : 精英、文化与思维,[美] 帕梅拉·麦考黛克,格致出版社,2023-11,8.0,108.00元
人工智能：伏羲觉醒,钟云,辽宁人民出版社,2017-1,5.1,36.80
通用人工智能,田杰华,未知,田杰华,暂无评分,中译出版社（原中国对外翻译出版公司）
简明人工智能,,未知,未知,暂无评分,
人工智能 : 理论与实践,(美)迪安-顾国昌,电子工业出版社,2004-6,暂无评分,39.00元
后人类纪的共同生活 : 正在到来的爱情、消费与人工智能,吴冠军,上海文艺出版社,2018-6,5.9,58
人工智能 : 一种现代方法,Stuart Russell,Pearson Education,2002-4,暂无评分,75.00元
智能的本质 人工智能与机器人领域的64个大问题 : 人工智能与机器人领域的64个大问题,[美] 皮埃罗·斯加鲁菲,人民邮电出版社,2017-1-1,7.4,CNY 55.00
人工智能超越人类,台場 時生,台場 時生,机械工业出版社,暂无评分,49元
人工智能原理与应用,张仰森,高等教育出版社,2004-2,暂无评分,29.50元
人工智能导论：模型与算法,吴飞,高等教育出版社,2020-5,暂无评分,27.70元
法律的人工智能时代,赵万一,法律出版社,2020-1,暂无评分,128.00元
权力之治：人工智能时代的算法规制,张凌寒,上海人民出版社,2021-5,8.5,96
人工智能与我们：AI100问,中国人民大学出版社,未知,未知,暂无评分,中国人民大学出版社
人工智能极简入门,张玉宏,未知,张玉宏,暂无评分,清华大学出版社
追问人工智能 : 从剑桥到北京,刘伟,科学出版社,2019-10,6.4,58.0元
记忆研究与人工智能,杨庆峰,上海大学出版社,2020-12,暂无评分,58
人工智能伦理导论,莫宏伟,西安电子科技大学出版社,2022,暂无评分,32.20元
量子人工智能,金贤敏,金贤敏,胡俊杰,暂无评分,清华大学出版社
创造性思维 : 人工智能之父马文·明斯基论教育,[美] 马文·明斯基(著),人民邮电出版社,2020-4,7.6,59.00元
当产品经理遇到人工智能,叶亮亮,电子工业出版社,2019-10,6.3,79
法律与人工智能高级导论,[美] 伍德罗·巴菲尔德,上海人民出版社,2022-8,暂无评分,80.00
人工智能与大数据伦理,科学出版社,未知,科学出版社,暂无评分,2018-12-1
Python人工智能项目实战,（印）桑塔努•帕塔纳亚克（Santanu Pattanayak）,机械工业出版社,2019-10-20,暂无评分,79.00元
未来可期：与人工智能同行,胡逸,太白文艺出版社,2024-6-16,7.3,49.8
人工智能时代的超思考法,野口悠纪雄,化学工业出版社,2021-3,7.8,49
